,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port-Cartier,75,CA,1581014759,56,50.03,-66.87,265.37,2.6
1,Karratha,100,AU,1581014759,75,-20.74,116.85,302.78,8.91
2,Puerto Ayora,90,EC,1581014475,66,-0.74,-90.35,302.15,5.7
3,Zhezkazgan,90,KZ,1581014760,92,47.8,67.71,268.15,4.0
4,Barrow,1,US,1581014760,97,71.29,-156.79,238.15,3.1
5,Nortelandia,100,BR,1581014760,87,-14.45,-56.8,299.0,0.86
6,Bredasdorp,99,ZA,1581014761,68,-34.53,20.04,292.15,7.2
7,Hithadhoo,3,MV,1581014598,78,-0.6,73.08,301.58,5.35
8,Northallerton,2,GB,1581014761,89,54.34,-1.43,278.71,2.1
9,Meulaboh,100,ID,1581014761,78,4.14,96.13,300.83,3.47
10,Yellowknife,90,CA,1581014612,83,62.46,-114.35,253.71,1.5
11,Airai,99,TL,1581014470,83,-8.93,125.41,292.93,1.78
12,Bathsheba,20,BB,1581014762,62,13.22,-59.52,302.15,10.3
13,Poykovskiy,20,RU,1581014762,100,61.23,73.33,264.15,5.0
14,Pisco,75,PE,1581014523,30,-13.7,-76.22,298.71,4.6
15,Qaanaaq,0,GL,1581014762,44,77.48,-69.36,243.44,2.37
16,Alofi,100,NU,1581014762,100,-19.06,-169.92,298.15,2.6
17,Mataura,73,NZ,1581014763,81,-46.19,168.86,283.71,1.34
18,Fairbanks,90,US,1581014598,92,64.84,-147.72,265.37,1.5
19,San Jeronimo,92,PE,1581014763,66,-11.95,-75.28,285.16,2.95
20,Punta Arenas,58,CL,1581014497,50,-53.15,-70.92,290.15,4.6
21,Mar del Plata,40,AR,1581014518,78,-38.0,-57.56,300.15,7.7
22,Port Elizabeth,90,ZA,1581014561,88,-33.92,25.57,291.15,2.6
23,Ayan,100,RU,1581014764,77,56.45,138.17,245.28,3.43
24,Medea,6,DZ,1581014764,76,36.26,2.75,285.15,5.1
25,Katubao,88,PH,1581014765,88,5.89,124.83,295.61,1.22
26,Hilo,40,US,1581014520,73,19.73,-155.09,294.82,1.5
27,Rikitea,7,PF,1581014765,79,-23.12,-134.97,299.34,7.24
28,Mildura,40,AU,1581014527,77,-34.2,142.15,293.15,5.1
29,Diamantino,100,BR,1581014613,75,-14.41,-56.45,300.97,1.19
30,Jamestown,90,US,1581014661,100,42.1,-79.24,275.15,4.1
31,Cape Town,20,ZA,1581014294,72,-33.93,18.42,293.15,9.3
32,Namatanai,65,PG,1581014766,77,-3.67,152.43,301.36,4.1
33,Karaton,40,ID,1581014766,94,-6.34,106.1,299.26,1.5
34,Lovozero,37,RU,1581014766,83,68.0,35.01,259.45,5.11
35,Olga,78,RU,1581014767,58,43.74,135.29,265.76,3.47
36,Provideniya,0,RU,1581014767,82,64.38,-173.3,241.22,3.64
37,Weihe,94,CN,1581014767,83,33.0,105.32,274.22,1.02
38,Takoradze,80,GH,1581014767,60,4.88,-1.76,301.94,3.53
39,Orissaare,0,EE,1581014767,73,58.56,23.08,273.15,2.6
40,Arrondissement du Havre,0,FR,1581014768,75,49.58,0.33,278.15,3.6
41,Dumai,100,ID,1581014756,88,1.68,101.45,297.14,1.38
42,Port Lincoln,0,AU,1581014649,84,-34.73,135.87,291.0,5.79
43,Tasiilaq,75,GL,1581014768,64,65.61,-37.64,274.15,5.7
44,Pangody,58,RU,1581014768,98,65.85,74.49,257.17,4.16
45,Carthage,40,TN,1581014769,57,36.86,10.33,284.15,3.6
46,Lazarev,5,RU,1581014769,99,52.23,141.51,246.09,1.56
47,Saldanha,15,ZA,1581014517,64,-33.01,17.94,293.15,7.2
48,Aplahoue,25,BJ,1581014769,19,6.93,1.68,304.72,0.72
49,Ushuaia,87,AR,1581014566,51,-54.8,-68.3,288.15,0.85
50,Albany,90,US,1581014567,86,42.6,-73.97,275.15,3.6
51,Orlik,0,RU,1581014770,81,52.52,99.83,251.17,1.39
52,Hermanus,91,ZA,1581014521,87,-34.42,19.23,292.59,3.58
53,Csaszartoltes,94,HU,1581014770,68,46.42,19.18,274.82,1.34
54,Erbil,0,IQ,1581014765,70,36.19,44.01,281.15,3.1
55,Castro,49,BR,1581014770,88,-24.79,-50.01,297.44,2.17
56,Cabo San Lucas,5,MX,1581014504,55,22.89,-109.91,293.15,3.6
57,Hobart,90,AU,1581014721,72,-42.88,147.33,288.15,3.6
58,Waterfoot,0,GB,1581014771,75,53.69,-2.25,279.15,0.5
59,Viedma,93,AR,1581014771,64,-40.81,-63.0,293.8,9.73
60,Azul,55,AR,1581014745,58,-36.78,-59.86,303.71,2.6
61,Russell,90,US,1581014612,93,32.35,-85.2,291.15,3.6
62,Kalmar,90,SE,1581014772,93,56.66,16.36,277.15,1.5
63,Vaini,20,TO,1581014491,88,-21.2,-175.2,299.15,3.6
64,Bonavista,55,CA,1581014772,69,48.65,-53.11,268.71,5.36
65,Akdepe,36,TM,1581014772,65,42.06,59.38,281.15,5.1
66,Fortuna,90,US,1581014773,100,40.6,-124.16,285.37,5.1
67,Avarua,55,CK,1581014602,83,-21.21,-159.78,300.15,3.1
68,Vizovice,90,CZ,1581014773,86,49.22,17.85,276.48,3.6
69,Prieska,81,ZA,1581014773,52,-29.66,22.75,299.1,6.03
70,Yangi Marg`ilon,0,UZ,1581014672,55,40.43,71.72,277.15,3.1
71,Goksun,75,TR,1581014774,71,38.02,36.5,285.15,7.2
72,Tuatapere,1,NZ,1581014774,81,-46.13,167.68,283.71,1.34
73,Torbay,90,CA,1581014774,67,47.67,-52.73,270.93,11.3
74,Norman Wells,75,CA,1581014526,75,65.28,-126.83,246.15,1.5
75,Karpathos,33,GR,1581014774,81,35.51,27.21,284.15,7.7
76,Bethel,90,US,1581014774,98,41.37,-73.41,278.15,2.1
77,Ahipara,99,NZ,1581014775,100,-35.17,173.17,288.15,7.46
78,Atuona,27,PF,1581014775,73,-9.8,-139.03,301.19,10.91
79,Souillac,40,MU,1581014775,78,-20.52,57.52,299.26,3.6
80,Hong Kong,40,HK,1581014719,77,22.29,114.16,291.15,5.1
81,Bluff,81,NZ,1581014546,81,-46.6,168.33,283.71,1.34
82,Churapcha,37,RU,1581014776,98,62.0,132.43,230.74,1.15
83,Pechenga,40,RU,1581014776,67,69.53,31.17,267.15,11.8
84,Hobyo,100,SO,1581014776,69,5.35,48.53,297.39,7.28
85,Vallenar,0,CL,1581014776,42,-28.57,-70.76,298.3,4.96
86,East London,90,ZA,1581014532,100,-33.02,27.91,292.15,4.6
87,Chernyshevskiy,100,RU,1581014776,98,63.01,112.47,251.7,1.28
88,Phan Thiet,80,VN,1581014777,85,10.93,108.1,290.65,0.91
89,Bilibino,4,RU,1581014777,94,68.05,166.44,238.22,1.75
90,Busselton,97,AU,1581014777,62,-33.65,115.33,294.26,3.22
91,Saint George,1,US,1581014777,45,37.1,-113.58,282.04,3.6
92,La Rioja,13,ES,1581014777,61,42.25,-2.5,282.15,1.5
93,Clyde River,1,CA,1581014778,67,70.47,-68.59,243.15,6.2
94,San Matias,84,BO,1581014778,55,-16.37,-58.4,304.8,3.7
95,Butaritari,40,KI,1581014496,80,3.07,172.79,301.53,6.86
96,Kantang,29,TH,1581014778,93,7.41,99.52,295.07,1.26
97,Sarangani,100,PH,1581014778,80,5.4,125.46,300.57,4.43
